X1,UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,latStation,longStation,usaf,wban,station,LatDelta,LongDelta,Delta,StationProximity,GoodLocation
1,84001001,US,USA,840,1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",32.383,-86.35,722265,13821,MAXWELL AFB AIRPORT,0.15652744999999868,-0.2940822700000041,0.3331444493487133,TRUE,TRUE
2,84001003,US,USA,840,1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",30.65,-87.933,997784,99999,MEAHER PARK,0.07774991000000142,0.21092942000001358,0.2248027329161068,TRUE,TRUE
3,84001005,US,USA,840,1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",31.951,-85.129,720363,63872,WEEDON FIELD AIRPORT,-0.08273700000000161,-0.25812859999999205,0.2710641719352747,TRUE,TRUE
4,84001007,US,USA,840,1007,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",33.178,-86.782,722300,53864,SHELBY COUNTY AIRPORT,-0.18157936000000063,-0.34311460000000693,0.38819929509360857,TRUE,TRUE
5,84001009,US,USA,840,1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",34.195,-86.796,999999,63867,CULLMAN 3 ENE,-0.21289081999999837,0.22809407000001158,0.31200866335639127,TRUE,TRUE
6,84001011,US,USA,840,1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",31.861,-86.012,722267,03878,TROY MUNICIPAL AIRPORT,0.23930532999999699,0.29934464999999477,0.38324177805926485,TRUE,TRUE
7,84001013,US,USA,840,1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",31.846,-86.611,720362,63874,MAC CRENSHAW MEMORIAL AIRPORT,-0.09299904999999953,-0.0695747799999964,0.11614419190364325,TRUE,TRUE
8,84001015,US,USA,840,1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",33.587,-85.856,722287,13871,ANNISTON METROPOLITAN ARPT,0.18783726999999573,0.02969613999999865,0.19017018886237352,TRUE,TRUE
9,84001017,US,USA,840,1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",33.017,-85.067,747807,03821,LAGRANGE-CALLAWAY AIRPORT,-0.10339921000000629,-0.3237274900000102,0.3398394980138891,TRUE,TRUE
10,84001019,US,USA,840,1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",34.269,-85.858,999999,00440,CULLMAN REGIONAL AIRPORT FOLSOM FIELD,-0.0909401699999961,0.2516103199999975,0.2675404037713357,TRUE,TRUE
11,84001021,US,USA,840,1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",32.852,-86.612,999999,63891,CLANTON 2 NE,-0.001558740000000114,-0.10532560000000046,0.10533713346084417,TRUE,TRUE
12,84001023,US,USA,840,1023,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",31.881,-87.737,999999,23802,THOMASVILLE 2 S,0.1412734099999966,-0.5286443000000105,0.5471955521525447,FALSE,FALSE
13,84001025,US,USA,840,1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",31.881,-87.737,999999,23802,THOMASVILLE 2 S,-0.20000140999999871,-0.0984859699999987,0.22293508088416283,TRUE,TRUE
14,84001027,US,USA,840,1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",33.587,-85.856,722287,13871,ANNISTON METROPOLITAN ARPT,-0.31715807000000495,-0.002360770000009893,0.317166856088591,TRUE,TRUE
15,84001029,US,USA,840,1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",33.587,-85.856,722287,13871,ANNISTON METROPOLITAN ARPT,0.08979203999999896,0.3359410099999991,0.34773405448299266,TRUE,TRUE
16,84001031,US,USA,840,1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",31.363,-85.849,722219,99999,SHELL AHP,0.03632826000000122,-0.14001039000000048,0.14464664456039042,TRUE,TRUE
17,84001033,US,USA,840,1033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",34.773,-87.64,999999,63894,MUSCLE SHOALS 2 N,-0.07452548000000547,-0.1616854399999994,0.17803434690313166,TRUE,TRUE
18,84001035,US,USA,840,1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",31.416,-87.044,722276,53820,MIDDLETON FIELD AIRPORT,0.018017029999999323,0.05079956000000152,0.05389998762722149,TRUE,TRUE
19,84001037,US,USA,840,1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",33.172,-86.306,720508,99999,MERKEL FLD SYLACAUGA MUNI,-0.23509853999999564,0.05752260999999237,0.24203341540237944,TRUE,TRUE
20,84001039,US,USA,840,1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",31.309,-86.394,722275,53843,ANDALUSIA-OPP  MUNICIPAL AIRPORT,-0.061214599999999564,-0.056508929999992574,0.08330958181928419,TRUE,TRUE
21,84001041,US,USA,840,1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",31.916,-86.312,999999,73802,HIGHLAND HOME 2 S,-0.18658196999999888,-0.003931039999997665,0.18662337636148926,TRUE,TRUE
22,84001043,US,USA,840,1043,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",34.195,-86.796,999999,63867,CULLMAN 3 ENE,-0.06479697000000328,-0.07288036999999292,0.09752023201632158,TRUE,TRUE
23,84001045,US,USA,840,1045,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",31.35,-85.667,722238,63873,HANCHEY ARMY HELIPORT (FORT RUCKER),0.08037122999999724,0.05604257999999618,0.09798114810905426,TRUE,TRUE
24,84001047,US,USA,840,1047,Dallas,Alabama,US,32.32688101,-87.1086671,"Dallas, Alabama, US",32.344,-86.988,722266,99999,CRAIG FLD,-0.017118990000000167,-0.12066710000000569,0.12187538242414454,TRUE,TRUE
25,84001049,US,USA,840,1049,DeKalb,Alabama,US,34.45946862,-85.80782906,"DeKalb, Alabama, US",34.474,-85.721,A00013,63847,ISBELL FIELD AIRPORT,-0.014531379999993987,-0.08682905999999946,0.0880366211595364,TRUE,TRUE
26,84001051,US,USA,840,1051,Elmore,Alabama,US,32.59785413,-86.14415284,"Elmore, Alabama, US",32.383,-86.35,722265,13821,MAXWELL AFB AIRPORT,0.2148541299999991,0.20584715999999048,0.2975489043134224,TRUE,TRUE
27,84001053,US,USA,840,1053,Escambia,Alabama,US,31.1256789,-87.15918694,"Escambia, Alabama, US",31.145,-87.052,999999,63899,BREWTON 3 NNE,-0.019321099999999092,-0.10718693999999118,0.10891439304229572,TRUE,TRUE
28,84001055,US,USA,840,1055,Etowah,Alabama,US,34.04567266,-86.04051873,"Etowah, Alabama, US",33.967,-86.083,722285,03896,GADSDEN MUNICIPAL AIRPORT,0.07867266000000228,0.04248126999999613,0.08940942753585066,TRUE,TRUE
29,84001057,US,USA,840,1057,Fayette,Alabama,US,33.72076938,-87.73886638,"Fayette, Alabama, US",33.902,-87.314,720505,00156,WALKER COUNTY AIRPORT BEVILL FIELD,-0.1812306200000009,-0.42486638000001165,0.46190472879144573,TRUE,TRUE
30,84001059,US,USA,840,1059,Franklin,Alabama,US,34.44235334,-87.84289505,"Franklin, Alabama, US",34.454,-87.71,999999,63895,RUSSELLVILLE 4 SSE,-0.011646660000003806,-0.1328950500000019,0.1334044189810019,TRUE,TRUE
31,84001061,US,USA,840,1061,Geneva,Alabama,US,31.09389027,-85.83572839,"Geneva, Alabama, US",31.267,-85.717,722269,03850,CAIRNS ARMY AIRFIELD (FORT RUCKER),-0.17310973000000018,-0.11872839000000113,0.20991286099871376,TRUE,TRUE
32,84001063,US,USA,840,1063,Greene,Alabama,US,32.85504247,-87.95684022,"Greene, Alabama, US",32.837,-88.137,999999,63892,GAINESVILLE 2 NE,0.01804246999999748,0.18015977999999677,0.18106097606427524,TRUE,TRUE
33,84001065,US,USA,840,1065,Hale,Alabama,US,32.76039258,-87.63284988,"Hale, Alabama, US",32.717,-87.623,999999,63893,GREENSBORO 2 WNW,0.04339258000000257,-0.009849879999990208,0.044496473288012726,TRUE,TRUE
34,84001067,US,USA,840,1067,Henry,Alabama,US,31.51148016,-85.24267944,"Henry, Alabama, US",31.317,-85.45,722268,13839,DOTHAN REGIONAL AIRPORT,0.19448016000000123,0.20732055999999943,0.2842610547231883,TRUE,TRUE
35,84001069,US,USA,840,1069,Houston,Alabama,US,31.15197924,-85.29939599,"Houston, Alabama, US",31.317,-85.45,722268,13839,DOTHAN REGIONAL AIRPORT,-0.16502076000000088,0.15060401000000923,0.22341311299711297,TRUE,TRUE
36,84001071,US,USA,840,1071,Jackson,Alabama,US,34.78144169,-85.99750489,"Jackson, Alabama, US",34.694,-86,999999,63896,SCOTTSBORO 2 NE,0.08744168999999857,0.002495109999998135,0.08747728118756287,TRUE,TRUE
37,84001073,US,USA,840,1073,Jefferson,Alabama,US,33.55554728,-86.895063,"Jefferson, Alabama, US",33.566,-86.745,722280,13876,BIRMINGHAM INTERNATIONAL AIRPORT,-0.010452720000003524,-0.15006299999998873,0.15042660444347966,TRUE,TRUE
38,84001075,US,USA,840,1075,Lamar,Alabama,US,33.77995024,-88.09668032,"Lamar, Alabama, US",33.65,-88.45,723306,13825,COLUMBUS AFB AIRPORT,0.12995023999999944,0.35331967999999847,0.3764596408001245,TRUE,TRUE
39,84001077,US,USA,840,1077,Lauderdale,Alabama,US,34.90171875,-87.65624729,"Lauderdale, Alabama, US",34.773,-87.64,999999,63894,MUSCLE SHOALS 2 N,0.12871874999999733,-0.016247289999995473,0.12974009031099742,TRUE,TRUE
40,84001079,US,USA,840,1079,Lawrence,Alabama,US,34.52041498,-87.31069453,"Lawrence, Alabama, US",34.66,-87.346,999999,63868,COURTLAND 2 WSW,-0.1395850199999984,0.035305469999997285,0.14398074183834675,TRUE,TRUE
41,84001081,US,USA,840,1081,Lee,Alabama,US,32.60154883,-85.35132246,"Lee, Alabama, US",32.616,-85.433,722284,03892,ABRN-OPLKA R G PITTS ARPT,-0.014451170000000957,0.08167754000000116,0.0829461081354678,TRUE,TRUE
42,84001083,US,USA,840,1083,Limestone,Alabama,US,34.81185586,-86.98310072,"Limestone, Alabama, US",34.653,-86.945,722279,53852,PRYOR FIELD REGIONAL ARPT,0.15885586000000274,-0.03810072000000275,0.16336110039069607,TRUE,TRUE
43,84001085,US,USA,840,1085,Lowndes,Alabama,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",32.3,-86.408,722260,13895,MONTGOMERY  RGNL (DANNELLY FD) AP,-0.14027169999999956,-0.2435837099999958,0.28108570507631997,TRUE,TRUE
44,84001087,US,USA,840,1087,Macon,Alabama,US,32.38759944,-85.69267724,"Macon, Alabama, US",32.616,-85.433,722284,03892,ABRN-OPLKA R G PITTS ARPT,-0.2284005599999972,-0.2596772399999878,0.3458310061031596,TRUE,TRUE
45,84001089,US,USA,840,1089,Madison,Alabama,US,34.76327133,-86.55069633,"Madison, Alabama, US",34.861,-86.557,720307,63804,MADISON CO EXECUTIVE ARPT,-0.09772866999999508,0.00630367000000831,0.09793175784921326,TRUE,TRUE
