"","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","latStation","longStation","usaf","wban","station"
"1",84001001,"US","USA",840,1001,"Autauga","Alabama","US",32.53952745,-86.64408227,"Autauga, Alabama, US",32.383,-86.35,"722265","13821","MAXWELL AFB AIRPORT"
"2",84001003,"US","USA",840,1003,"Baldwin","Alabama","US",30.72774991,-87.72207058,"Baldwin, Alabama, US",30.65,-87.933,"997784","99999","MEAHER PARK"
"3",84001005,"US","USA",840,1005,"Barbour","Alabama","US",31.868263,-85.3871286,"Barbour, Alabama, US",31.951,-85.129,"720363","63872","WEEDON FIELD AIRPORT"
"4",84001007,"US","USA",840,1007,"Bibb","Alabama","US",32.99642064,-87.1251146,"Bibb, Alabama, US",33.178,-86.782,"722300","53864","SHELBY COUNTY AIRPORT"
"5",84001009,"US","USA",840,1009,"Blount","Alabama","US",33.98210918,-86.56790593,"Blount, Alabama, US",34.195,-86.796,"999999","63867","CULLMAN 3 ENE"
"6",84001011,"US","USA",840,1011,"Bullock","Alabama","US",32.10030533,-85.71265535,"Bullock, Alabama, US",31.861,-86.012,"722267","03878","TROY MUNICIPAL AIRPORT"
"7",84001013,"US","USA",840,1013,"Butler","Alabama","US",31.75300095,-86.68057478,"Butler, Alabama, US",31.846,-86.611,"720362","63874","MAC CRENSHAW MEMORIAL AIRPORT"
"8",84001015,"US","USA",840,1015,"Calhoun","Alabama","US",33.77483727,-85.82630386,"Calhoun, Alabama, US",33.587,-85.856,"722287","13871","ANNISTON METROPOLITAN ARPT"
"9",84001017,"US","USA",840,1017,"Chambers","Alabama","US",32.91360079,-85.39072749,"Chambers, Alabama, US",33.017,-85.067,"747807","03821","LAGRANGE-CALLAWAY AIRPORT"
"10",84001019,"US","USA",840,1019,"Cherokee","Alabama","US",34.17805983,-85.60638968,"Cherokee, Alabama, US",34.269,-85.858,"999999","00440","CULLMAN REGIONAL AIRPORT FOLSOM FIELD"
"11",84001021,"US","USA",840,1021,"Chilton","Alabama","US",32.85044126,-86.7173256,"Chilton, Alabama, US",32.852,-86.612,"999999","63891","CLANTON 2 NE"
"12",84001023,"US","USA",840,1023,"Choctaw","Alabama","US",32.02227341,-88.2656443,"Choctaw, Alabama, US",31.881,-87.737,"999999","23802","THOMASVILLE 2 S"
"13",84001025,"US","USA",840,1025,"Clarke","Alabama","US",31.68099859,-87.83548597,"Clarke, Alabama, US",31.881,-87.737,"999999","23802","THOMASVILLE 2 S"
"14",84001027,"US","USA",840,1027,"Clay","Alabama","US",33.26984193,-85.85836077,"Clay, Alabama, US",33.587,-85.856,"722287","13871","ANNISTON METROPOLITAN ARPT"
"15",84001029,"US","USA",840,1029,"Cleburne","Alabama","US",33.67679204,-85.52005899,"Cleburne, Alabama, US",33.587,-85.856,"722287","13871","ANNISTON METROPOLITAN ARPT"
"16",84001031,"US","USA",840,1031,"Coffee","Alabama","US",31.39932826,-85.98901039,"Coffee, Alabama, US",31.363,-85.849,"722219","99999","SHELL AHP"
"17",84001033,"US","USA",840,1033,"Colbert","Alabama","US",34.69847452,-87.80168544,"Colbert, Alabama, US",34.773,-87.64,"999999","63894","MUSCLE SHOALS 2 N"
"18",84001035,"US","USA",840,1035,"Conecuh","Alabama","US",31.43401703,-86.99320044,"Conecuh, Alabama, US",31.416,-87.044,"722276","53820","MIDDLETON FIELD AIRPORT"
"19",84001037,"US","USA",840,1037,"Coosa","Alabama","US",32.93690146,-86.24847739,"Coosa, Alabama, US",33.172,-86.306,"720508","99999","MERKEL FLD SYLACAUGA MUNI"
"20",84001039,"US","USA",840,1039,"Covington","Alabama","US",31.2477854,-86.45050893,"Covington, Alabama, US",31.309,-86.394,"722275","53843","ANDALUSIA-OPP  MUNICIPAL AIRPORT"
"21",84001041,"US","USA",840,1041,"Crenshaw","Alabama","US",31.72941803,-86.31593104,"Crenshaw, Alabama, US",31.916,-86.312,"999999","73802","HIGHLAND HOME 2 S"
